SDAccel Timeline Trace
Generated on: 2018-05-13 09:23:21
Msec since Epoch: 1526228601848
Profiled application: cnn.out
Target platform: Xilinx


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
2.490195,clGetPlatformIDs|General,START,,,,,,,,,
2.538823,clGetPlatformIDs|General,END,,,,,,,,,
2.565541,clGetPlatformInfo|General,START,,,,,,,,,
2.580042,clGetPlatformInfo|General,END,,,,,,,,,
2.596061,clGetDeviceIDs|General,START,,,,,,,,,
2.610434,clGetDeviceIDs|General,END,,,,,,,,,
2.621264,clGetDeviceInfo|General,START,,,,,,,,,
2.633824,clGetDeviceInfo|General,END,,,,,,,,,
2.644292,clGetDeviceIDs|General,START,,,,,,,,,
2.653946,clGetDeviceIDs|General,END,,,,,,,,,
2.665957,clCreateContext|General,START,,,,,,,,,
2.683221,clCreateContext|General,END,,,,,,,,,
2.694343,clCreateCommandQueue|General,START,,,,,,,,,
2.709696,clCreateCommandQueue|General,END,,,,,,,,,
6.184472,clCreateProgramWithBinary|General,START,,,,,,,,,
1498.587499,clCreateProgramWithBinary|General,END,,,,,,,,,
1498.638533,clBuildProgram|General,START,,,,,,,,,
1498.660347,clBuildProgram|General,END,,,,,,,,,
1498.692386,clCreateKernel|General,START,,,,,,,,,
1498.719667,clCreateKernel|General,END,,,,,,,,,
1498.73241,clCreateBuffer|General,START,,,,,,,,,
1499.363692,clCreateBuffer|General,END,,,,,,,,,
1499.384206,clCreateBuffer|General,START,,,,,,,,,
1499.933292,clCreateBuffer|General,END,,,,,,,,,
1499.953233,clCreateBuffer|General,START,,,,,,,,,
1500.869803,clCreateBuffer|General,END,,,,,,,,,
1500.894199,clEnqueueWriteBuffer|39740704,START,,,,,,,,,
1500.948436,WRITE_BUFFER,QUEUE,0X26769A0,1048576,,,,,,,
1501.850754,WRITE_BUFFER,SUBMIT,0X26769A0,1048576,,,,,,,
1502.897452,WRITE_BUFFER,START,0X26769A0,1048576,,,,,,,
1504.433296,clEnqueueWriteBuffer|39740704,END,,,,,,,,,
1504.452178,clEnqueueWriteBuffer|39740704,START,,,,,,,,,
1504.420878,WRITE_BUFFER,END,0X26769A0,1048576,,,,,,,
1504.468819,WRITE_BUFFER,QUEUE,0X2676A70,1048576,,,,,,,
1505.707888,WRITE_BUFFER,SUBMIT,0X2676A70,1048576,,,,,,,
1506.296736,WRITE_BUFFER,START,0X2676A70,1048576,,,,,,,
1507.831287,clEnqueueWriteBuffer|39740704,END,,,,,,,,,
1507.853981,clSetKernelArg|General,START,,,,,,,,,
1507.875323,clSetKernelArg|General,END,,,,,,,,,
1507.886952,clSetKernelArg|General,START,,,,,,,,,
1507.89906,clSetKernelArg|General,END,,,,,,,,,
1507.910288,clSetKernelArg|General,START,,,,,,,,,
1507.922007,clSetKernelArg|General,END,,,,,,,,,
1507.934132,clEnqueueTask|39740704,START,,,,,,,,,
1507.972856,KERNEL|xilinx:xil-accel-rd-ku115:4ddr-xpr:4.0-0|cnn_hw_emu|cnn_top|1:1:1|all,QUEUE,0X265DBC0,1,,,,,,,
1509.133215,clEnqueueTask|39740704,END,,,,,,,,,
1509.152275,clFlush|General,START,,,,,,,,,
1507.819881,WRITE_BUFFER,END,0X2676A70,1048576,,,,,,,
1556.600085,KERNEL|xilinx:xil-accel-rd-ku115:4ddr-xpr:4.0-0|cnn_hw_emu|cnn_top|1:1:1|all,SUBMIT,0X265DBC0,1,,,,,,,
1557.689075,KERNEL|xilinx:xil-accel-rd-ku115:4ddr-xpr:4.0-0|cnn_hw_emu|cnn_top|1:1:1|cnn_top_1,START,0X265DBC0,1,,,,,,,
1335865.914,KERNEL|xilinx:xil-accel-rd-ku115:4ddr-xpr:4.0-0|cnn_hw_emu|cnn_top|1:1:1|cnn_top_1,END,0X265DBC0,1,,,,,,,
1335866.059,clFlush|General,END,,,,,,,,,
1335866.692,clFinish|General,START,,,,,,,,,
1335866.708,clFinish|General,END,,,,,,,,,
1335866.769,clGetEventProfilingInfo|General,START,,,,,,,,,
1335866.785,clGetEventProfilingInfo|General,END,,,,,,,,,
1335866.797,clGetEventProfilingInfo|General,START,,,,,,,,,
1335866.809,clGetEventProfilingInfo|General,END,,,,,,,,,
1335866.826,clEnqueueReadBuffer|39740704,START,,,,,,,,,
1335866.849,READ_BUFFER,QUEUE,0X2676BC0,1048576,,,,,,,
1335867.452,READ_BUFFER,SUBMIT,0X2676BC0,1048576,,,,,,,
1335868.088,READ_BUFFER,START,0X2676BC0,1048576,,,,,,,
1335910.127,clEnqueueReadBuffer|39740704,END,,,,,,,,,
1335910.17,clReleaseMemObject|General,START,,,,,,,,,
1335910.185,clReleaseMemObject|General,END,,,,,,,,,
1335910.196,clReleaseMemObject|General,START,,,,,,,,,
1335910.207,clReleaseMemObject|General,END,,,,,,,,,
1335910.217,clReleaseMemObject|General,START,,,,,,,,,
1335910.228,clReleaseMemObject|General,END,,,,,,,,,
1335910.24,clReleaseEvent|General,START,,,,,,,,,
1335910.255,clReleaseEvent|General,END,,,,,,,,,
1335910.268,clReleaseKernel|General,START,,,,,,,,,
1335910.29,clReleaseKernel|General,END,,,,,,,,,
1335910.303,clReleaseProgram|General,START,,,,,,,,,
1335910.105,READ_BUFFER,END,0X2676BC0,1048576,,,,,,,
1557.689167,Kernel_Read|xilinx:xil-accel-rd-ku115:4ddr-xpr:4.0-0|cnn_hw_emu,Read,OCL Region,8,8,792,800,0.032,1557.689167,1557.689199,
1557.689223,Kernel_Read|xilinx:xil-accel-rd-ku115:4ddr-xpr:4.0-0|cnn_hw_emu,Read,OCL Region,8,8,806,814,0.032,1557.689223,1557.689255,
2600.49688,Kernel_Read|xilinx:xil-accel-rd-ku115:4ddr-xpr:4.0-0|cnn_hw_emu,Read,OCL Region,8,8,820,828,0.032,2600.49688,2600.496912,
2600.496937,Kernel_Read|xilinx:xil-accel-rd-ku115:4ddr-xpr:4.0-0|cnn_hw_emu,Read,OCL Region,8,8,834,842,0.032,2600.496937,2600.496969,
2600.496993,Kernel_Read|xilinx:xil-accel-rd-ku115:4ddr-xpr:4.0-0|cnn_hw_emu,Read,OCL Region,8,8,848,856,0.032,2600.496993,2600.497024,
2689.865135,Kernel_Read|xilinx:xil-accel-rd-ku115:4ddr-xpr:4.0-0|cnn_hw_emu,Read,OCL Region,8,8,862,870,0.032,2689.865135,2689.865167,
2689.865191,Kernel_Read|xilinx:xil-accel-rd-ku115:4ddr-xpr:4.0-0|cnn_hw_emu,Read,OCL Region,8,8,876,884,0.032,2689.865191,2689.865223,
2689.865247,Kernel_Read|xilinx:xil-accel-rd-ku115:4ddr-xpr:4.0-0|cnn_hw_emu,Read,OCL Region,8,8,890,898,0.032,2689.865247,2689.865279,
2796.04885,Kernel_Read|xilinx:xil-accel-rd-ku115:4ddr-xpr:4.0-0|cnn_hw_emu,Read,OCL Region,8,8,904,912,0.032,2796.04885,2796.048882,
2796.048906,Kernel_Read|xilinx:xil-accel-rd-ku115:4ddr-xpr:4.0-0|cnn_hw_emu,Read,OCL Region,8,8,918,926,0.032,2796.048906,2796.048938,
2796.048962,Kernel_Read|xilinx:xil-accel-rd-ku115:4ddr-xpr:4.0-0|cnn_hw_emu,Read,OCL Region,8,8,932,940,0.032,2796.048962,2796.048994,
2903.088424,Kernel_Read|xilinx:xil-accel-rd-ku115:4ddr-xpr:4.0-0|cnn_hw_emu,Read,OCL Region,8,8,946,954,0.032,2903.088424,2903.088456,
2903.08848,Kernel_Read|xilinx:xil-accel-rd-ku115:4ddr-xpr:4.0-0|cnn_hw_emu,Read,OCL Region,8,8,960,968,0.032,2903.08848,2903.088512,
2903.088536,Kernel_Read|xilinx:xil-accel-rd-ku115:4ddr-xpr:4.0-0|cnn_hw_emu,Read,OCL Region,8,8,974,982,0.032,2903.088536,2903.088568,
